id,pattern,value1,value2,value3,type,matchType,frequency
id_1,~,്,,,1,1,0
id_1,a,അ,,,1,1,0
id_1,a,ആ,ാ,,1,1,0
id_1,aa,ആ,ാ,,1,1,0
id_1,A,ആ,ാ,,1,1,0
id_1,i,ഇ,ി,,1,1,0
id_1,ee,ഈ,ീ,,1,1,0
id_1,I,ഈ,ീ,,1,1,0
id_1,ii,ഈ,ീ,,1,1,0
id_1,i,ഈ,ീ,,1,1,0
id_1,u,ഉ,ു,,1,1,0
id_1,u,ഊ,ൂ,,1,1,0
id_1,uu,ഊ,ൂ,,1,1,0
id_1,oo,ഊ,ൂ,,1,1,0
id_1,U,ഊ,ൂ,,1,1,0
id_1,ri,ഋ,ൃ,ർ,1,2,0
id_1,ru,ഋ,ൃ,ർ,1,2,0
id_1,R,ഋ,ൃ,ർ,1,1,0
id_1,e,എ,െ,,1,1,0
id_1,E,ഏ,േ,,1,1,0
id_1,e,ഏ,േ,,1,1,0
id_1,ai,ഐ,ൈ,,1,1,0
id_1,ei,ഐ,ൈ,,1,1,0
id_1,o,ഒ,ൊ,,1,1,0
id_1,O,ഓ,ോ,,1,1,0
id_1,o,ഓ,ോ,,1,1,0
id_1,ou,ഔ,ൌ,,1,1,0
id_1,au,ഔ,ൌ,,1,1,0
id_1,ow,ഔ,ൌ,,1,1,0
id_1,OU,ഔ,ൗ,,1,1,0
id_1,AU,ഔ,ൗ,,1,1,0
id_1,OW,ഔ,ൗ,,1,1,0
id_1,ka,ക,,,2,1,0
id_1,kha,ഖ,,,2,1,0
id_1,gha,ഖ,,,2,1,0
id_1,ga,ഗ,,,2,1,0
id_1,gha,ഘ,,,2,1,0
id_1,kha,ഘ,,,2,1,0
id_1,NGa,ങ്ങ,,,2,1,0
id_1,nga,ങ്ങ,,,2,1,0
id_1,cha,ച,,,2,1,0
id_1,CHa,ഛ,,,2,1,0
id_1,cha,ഛ,,,2,2,0
id_1,jha,ഛ,,,2,2,0
id_1,cha,ച്ഛ,,,2,1,0
id_1,ja,ജ,,,2,1,0
id_1,jha,ഝ,,,2,1,0
id_1,JHa,ഝ,,,2,1,0
id_1,nja,ഞ്ഞ,,,2,1,0
id_1,NJa,ഞ്ഞ,,,2,1,0
id_1,ta,റ്റ,,,2,1,0
id_1,tta,റ്റ,,,2,1,0
id_1,da,ട,,,2,2,0
id_1,ta,ട,,,2,2,0
id_1,Ta,ട,,,2,1,0
id_1,da,ഠ,,,2,2,0
id_1,ta,ഠ,,,2,2,0
id_1,TTa,ഠ,,,2,1,0
id_1,Da,ഡ,,,2,1,0
id_1,da,ഡ,,,2,1,0
id_1,da,ഢ,,,2,1,0
id_1,DDa,ഢ,,,2,1,0
id_1,tha,ത,,,2,1,0
id_1,ta,ത,,,2,1,0
id_1,tha,ഥ,,,2,2,0
id_1,dha,ഥ,,,2,2,0
id_1,thha,ഥ,,,2,1,0
id_1,tha,ത്ഥ,,,2,2,0
id_1,dha,ത്ഥ,,,2,2,0
id_1,tathha,ത്ഥ,,,2,1,0
id_1,da,ദ,,,2,1,0
id_1,dha,ദ്ധ,,,2,1,0
id_1,ddha,ദ്ധ,,,2,1,0
id_1,dha,ധ,,,2,1,0
id_1,pa,പ,,,2,1,0
id_1,pha,ഫ,,,2,1,0
id_1,fa,ഫ,,,2,1,0
id_1,Fa,ഫ,,,2,1,0
id_1,ba,ബ,,,2,1,0
id_1,bha,ഭ,,,2,1,0
id_1,va,വ,,,2,1,0
id_1,wa,വ,,,2,1,0
id_1,Sa,ശ,,,2,1,0
id_1,sha,ശ,,,2,2,0
id_1,sa,ശ,,,2,2,0
id_1,sa,സ,,,2,1,0
id_1,za,സ,,,2,1,0
id_1,ha,ഹ,,,2,1,0
id_1,nja,ഞ,ഞ്ഞ,,2,1,0
id_1,nga,ങ,ങ്ങ,,2,1,0
id_1,kra,ക്ര,,,2,1,0
id_1,gra,ഗ്ര,,,2,1,0
id_1,ghra,ഘ്ര,,,2,1,0
id_1,khra,ഘ്ര,,,2,1,0
id_1,CHra,ഛ്ര,,,2,1,0
id_1,chra,ഛ്ര,,,2,2,0
id_1,jhra,ഛ്ര,,,2,2,0
id_1,jra,ജ്ര,,,2,1,0
id_1,dra,ട്ര,,,2,2,0
id_1,tra,ട്ര,,,2,2,0
id_1,Tra,ട്ര,,,2,1,0
id_1,Dra,ഡ്ര,,,2,1,0
id_1,dra,ഡ്ര,,,2,1,0
id_1,Dhra,ഢ്ര,,,2,1,0
id_1,thra,ത്ര,,,2,1,0
id_1,tra,ത്ര,,,2,1,0
id_1,dra,ദ്ര,,,2,1,0
id_1,ddhra,ദ്ധ്ര,,,2,1,0
id_1,dhra,ദ്ധ്ര,,,2,1,0
id_1,dhra,ധ്ര,,,2,1,0
id_1,pra,പ്ര,,,2,1,0
id_1,phra,ഫ്ര,,,2,1,0
id_1,fra,ഫ്ര,,,2,1,0
id_1,Fra,ഫ്ര,,,2,1,0
id_1,bra,ബ്ര,,,2,1,0
id_1,bhra,ഭ്ര,,,2,1,0
id_1,vra,വ്ര,,,2,1,0
id_1,wra,വ്ര,,,2,1,0
id_1,Sra,ശ്ര,,,2,1,0
id_1,shra,ശ്ര,,,2,2,0
id_1,sra,ശ്ര,,,2,2,0
id_1,shra,ഷ്ര,,,2,1,0
id_1,sra,സ്ര,,,2,1,0
id_1,zra,സ്ര,,,2,1,0
id_1,hra,ഹ്ര,,,2,1,0
id_1,nthra,ന്ത്ര,,,2,1,0
id_1,ndra,ണ്ട്ര,,,2,2,0
id_1,ntra,ണ്ട്ര,,,2,2,0
id_1,nDra,ണ്ട്ര,,,2,1,0
id_1,Ntra,ണ്ട്ര,,,2,1,0
id_1,nTra,ണ്ട്ര,,,2,1,0
id_1,ndra,ന്ദ്ര,,,2,1,0
id_1,thra,ത്ത്ര,,,2,1,0
id_1,THra,ത്ത്ര,,,2,1,0
id_1,tthra,ത്ത്ര,,,2,1,0
id_1,nnra,ന്ന്ര,,,2,1,0
id_1,kkra,ക്ക്ര,,,2,1,0
id_1,Kra,ക്ക്ര,,,2,1,0
